site_code,site_name,project,park,area_km2,perimeter_km,min_elev,mean_elev,max_elev,relief_m,min_slope_deg,mean_slope_deg,max_slope_deg,meanjanppt,meanfebppt,meanmarppt,meanaprppt,meanmayppt,meanjunppt,meanjulppt,meanaugppt,meansepppt,meanoctppt,meannovppt,meandecppt,meanannppt,meanjanmaxt,meanfebmaxt,meanmarmaxt,meanaprmaxt,meanmaymaxt,meanjunmaxt,meanjulmaxt,meanaugmaxt,meansepmaxt,meanoctmaxt,meannovmaxt,meandecmaxt,meanannmaxt,meanjant,meanfebt,meanmart,meanaprt,meanmayt,meanjunt,meanjult,meanaugt,meansept,meanoctt,meannovt,meandect,meanannt,meanjanmint,meanfebmint,meanmarmint,meanaprmint,meanmatmint,meanjunmint,meanjulmint,meanaugmint,meansepmint,meanoctmint,meannovmint,meandecmint,meanannmint,med_snowfree,peropenwater,perperennialicesnow,perdevelopedlowintensity,perbarrenland,perdeciduousforest,perevergreenforest,permixedforest,perdwarfscrub,pershrubscrub,pergrasslandherbaceous,persedgeherbaceous,perwoodywetlands,peremergentherbwetlands,percontperm,perdiscontperm,persporperm,perisoperm,perglacier,roadlength,traillength,roaddensity,traildensity
AKW04450-0006,Glacier Gap Lake inflow,AKMAP,NA,7.80022248588296,11.3767965659226,1215.61352539,1501.03219422,1969.64660645,754.033081055,9.9254550878e-4,20.7834619589,54.9397659302,46.1084400300057,43.679637662826,29.3074506944226,21.2258199261081,54.1161922331779,91.1459289058562,122.735841320407,151.523176623929,129.769061426963,88.3448535550025,34.3477667531659,40.3412640479303,852.645434964088,-10.6090931123303,-8.50923379775016,-7.50094819838001,-2.13629618767769,4.45288668140288,9.826369039474,11.5958424537413,9.6045705118487,4.02715138850674,-3.20052776029033,-6.86640165698144,-7.6119559964826,-0.577303047862745,-13.9538004167618,-12.3119398547757,-11.7010806299025,-6.41754164234284,0.365996751434831,6.04074095910595,7.85417499849873,6.26202797120617,0.951673022681667,-6.08792620320474,-9.87082050692651,-10.6891150628367,-4.12980078112694,-17.2985078134844,-16.1146460810015,-15.9012128460792,-10.6987870124079,-3.72089316768031,2.25511273549449,4.11250804316613,2.91948542287273,-2.12380539217303,-8.97532443077334,-12.875239218435,-13.7662740522815,-7.68229864489648,158,0.43,0,0,75.74,0,0,0,2.6,21.23,0,0,0,0,0,100,0,0,0,0,0,0,0
AKW04450-0007,Moose Creek,AKMAP,NA,152.294131755527,61.1839501052937,700.319458008,1212.95237582,1879.9140625,1179.59460449,0,21.1664628724,61.1290664673,29.6825021575479,29.3938233836804,21.0630614913367,20.9771118802962,30.9455892244975,69.5281806584277,105.897074817832,108.714105444017,75.1104958228816,33.0523062811957,32.2965781049791,45.7577361998215,602.418565737656,-9.75644184171764,-8.97300106248045,-6.07432989669002,-1.04480700522625,6.12039396536896,11.6229448279524,13.310472588134,10.4672105982413,4.74779936534907,-2.84903479192796,-8.03568869790221,-9.40589879696665,0.0108016031947188,-13.0086801332586,-12.4435920419257,-10.4257119060342,-4.52378582954407,2.78488181739729,7.86201087361068,9.61138738292495,7.3828605039447,1.80196734063793,-5.19452714140898,-10.8992378836364,-12.4814806935055,-3.29449231036348,-16.2609184458365,-15.9141830587699,-14.7770939340778,-8.00276463873246,-0.550630341582814,4.10107690514692,5.91230220693389,4.29851041919266,-1.14386468174338,-7.54001949113958,-13.7627870740454,-15.5570625588785,-6.5997862254872,136,0.06,1,0,42.54,0.02,6.44,0.02,11.4,37.11,0.17,0.21,0.98,0.04,99.02651233573935,0.973487664260641,0,0,0.553275,0,13449.44,0,0.088312266828442
AKW04450-0008,Snow Mountain Gulch,AKMAP,NA,39.8939479696752,33.794167628496396,598.144226074,933.592804336,1952.66394043,1354.51971436,0.0472419969738,11.3651169249,41.333366394,20.0574082603937,19.6918381558189,14.2808537905729,7.57012115852742,32.3771566801433,64.7221050745324,84.859242161618,65.4085389390776,37.8067221098308,30.1171278168883,26.7235275823859,28.5806982426704,432.195338575146,-12.17337357847,-9.2124862006948,-4.53029834318765,2.43652120437561,10.1473468843895,15.5297086902812,16.6742983769767,13.7745032642461,7.81688061620616,-2.04518241784241,-9.25244871272317,-10.9967978513694,1.51405598359961,-15.8821161909948,-13.8391989575157,-10.2035590002808,-2.87359100052073,5.08452073904344,10.4147036377388,11.9734643411033,9.36194776432424,3.81305999554034,-5.26377608202681,-12.736105870597,-14.7131274742416,-2.90531484235691,-19.5908589061302,-18.4659116056901,-15.876819658883,-8.18370318110985,0.0216946244340013,5.29969859085505,7.27263022525401,4.94939228609393,-0.190760614421171,-8.4823697639417,-16.2197630314887,-18.4294570548625,-7.32468570938593,115,0,0,0,10.21,2.96,3.62,0.49,0.52,74.5,0,0.17,7.54,0,33.23228097480533,66.76771902519467,0,0,0,0,0,0,0
AKW04450-0009,Baker Creek,AKMAP,NA,399.369611545752,107.347216617348,137.109359741,322.340106748,854.452026367,717.342666626,0,6.52352653416,40.2128829956,21.1103574748051,15.2523871930757,13.6998642079551,12.2368041184775,22.9164356769172,49.191332909829,66.5096749807534,67.0352850507322,45.0643277798508,29.1589176458611,24.8719889148512,23.3359863597556,390.383361949588,-16.3188312790935,-12.6437997621788,-5.75716934893791,4.10422677511438,13.5745505888266,19.7465569794624,20.7782965158287,16.9367419864769,10.5896768299421,-1.22483345423999,-11.5550620555878,-14.225618691813,2.00039459307889,-19.662393562217,-16.8065335542484,-11.3179045704535,-1.88091645023769,7.66605045967863,13.6225871469017,15.0850135917378,11.6155488152159,5.72489914498722,-4.81083703754549,-14.7483148313223,-17.6701475420498,-2.76524571097105,-23.0059558578263,-20.9692673897208,-16.8786398139678,-7.86605966834356,1.75755034208744,7.49861732296218,9.39173064416186,6.29435558657991,0.860121449015777,-8.39684062735398,-17.9415676445141,-21.1146764410404,-7.53088600023132,118,0.18,0,0.12,0.08,30.58,13.46,16.23,1.76,21.03,0,0.82,15.72,0.01,0,100,0,0,0,12725.61,0,0.03186424212584875,0
AKW04450-0013,NNT near Zitziana River,AKMAP,NA,1.42881710369895,5.65622316176597,240.526611328,267.435572204,335.460113525,94.9335021973,5.53628779016e-4,2.61548929703,9.33781909943,17.4338362557547,12.6784065791539,10.4245613643101,8.19199425833566,26.1468366895403,47.3697471618652,66.8202569144113,60.6962122235979,35.8446197509766,24.2161540985107,19.5819764818464,20.6331639971052,350.037763323103,-16.6807144709996,-12.4758135931832,-5.01752185821533,4.42430237361363,12.4916233335223,18.1006382533482,18.7414883204869,15.5714386531285,10.0012287412371,0.376704207488469,-11.4220747266497,-14.7561655044556,1.61292779445648,-20.2827598026821,-17.1678096226283,-11.2511670248849,-1.67308112553188,6.94880751201085,12.8328973225185,14.1591201509748,11.0563592910767,5.6423373903547,-4.10203892844064,-14.9966306686401,-18.4524004799979,-3.10719704627991,-23.884804044451,-21.8598057883126,-17.4848112378802,-7.7704644884382,1.40599158832005,7.56515598297119,9.57675198146275,6.54127999714443,1.28344581808363,-8.58078193664551,-18.5711857931955,-22.1486345018659,-7.82732193810599,112,3.53,0,0,0,6.11,75.05,2.58,0,12.73,0,0,0,0,0,100,0,0,0,0,0,0,0
AKW04450-0016,Granite Creek,AKMAP,NA,71.2157431650982,45.0466450828225,662.483642578,1238.4991626,1843.85290527,1181.3692627,0.0182202011347,15.9885747834,45.9153289795,16.7985908528238,23.5439746072483,17.1487667303052,10.2110947233459,32.638220225477,86.1502343420368,91.2444094083035,101.457120463408,47.36537454851,47.6676650163604,31.9679093842722,31.0623539117155,537.25571454942,-10.6354780230373,-8.46774402811137,-6.59015676451892,-0.0537462624176065,7.53473905736146,12.732663799246,13.9967892577009,11.4542193097105,5.67541453813427,-3.20821862447137,-7.94683025606003,-8.35102743720344,0.511718718115993,-14.0961197676974,-12.1915534115835,-10.6879331243163,-4.22060401008208,3.31584033266177,8.78975455021609,10.0173747747202,7.99406722530671,2.48926985087457,-5.8972037320353,-11.3553089879531,-12.0961190266892,-3.1615446142411,-17.5567615455867,-15.9153628233002,-14.78570943427,-8.38746180517748,-0.903058404615636,4.84684527128,6.03796037979658,4.53391510808925,-0.69687486397109,-8.58618883471871,-14.7637877480909,-15.8412106012218,-6.83480793258454,137,0.07,0,0,16.74,1.3,5.34,1.08,13.78,60.7,0.13,0.01,0.85,0,0,100,0,0,0,0,0,0,0
AKW04450-0017,NNT to Tatalina River,AKMAP,NA,15.19129101,19.90586001,119.8450928,292.529021,676.3624268,556.517334,0,7.76789447,35.47999954,18.18884156,13.28186419,10.66856844,8.223454768,24.51161467,48.41657084,69.4303438,61.00023062,38.58461545,22.28704652,18.73613689,19.0018871,352.3311719,-15.26818256,-11.58522781,-4.521363865,5.400909364,15.28727341,21.36818283,22.00863734,17.59611448,11.26863688,-0.265909105,-10.89886418,-13.29250063,3.091475525,-18.80431906,-16.09750076,-10.48089814,-0.828863651,8.58636402,14.54497801,15.76963709,12.16612556,6.184068441,-4.139079755,-14.35192119,-17.08408033,-2.044624131,-22.34045558,-20.60977368,-16.44043264,-7.058636665,1.885454633,7.721773093,9.530636831,6.736136675,1.09950005,-8.012250337,-17.80497809,-20.87566003,-7.180723819,117,0,0,0,0,2.1902633000000002,28.255634099999998,5.581118999999999,0,16.560313700000002,45.535775699999995,0,1.5162317,0.3606624,0,99.9979607,0,0,0,0,0,0,0
AKW04450-0023,Monument Creek,AKMAP,NA,26.5303453179006,22.1815284894693,509.29586792,891.250848597,1387.94250488,878.646636963,0.0570840612054,19.9823300012,42.0148544312,26.0792804823981,19.8495560045596,19.2988567352295,20.1514175379718,32.2618995595861,77.0621749736645,99.976500970346,107.91120840002,66.8680654808327,45.0514518596508,29.1980466666045,21.3141335558008,565.022588094076,-11.9649938212501,-9.61027549814295,-5.86017707321379,2.41586746606562,10.4758939743042,16.4195148768248,17.2041546768612,13.9179044652868,7.97119366239618,-2.62039832826014,-9.51502505938212,-10.7853241938132,1.50402792074062,-15.3072891235352,-13.2688139632896,-10.5987380963785,-2.57752157140661,5.67503896907524,11.4891997884821,12.4088187570925,9.51679254019702,4.07955034242736,-5.52005404013175,-12.5010134202463,-14.1024892418473,-2.55887656631293,-18.6495843993293,-16.9273523754544,-15.337299267451,-7.57091061274211,0.874183973699541,6.55888462508166,7.61348295211792,5.11568058420111,0.187907059870971,-8.41970979284357,-15.4870017634498,-17.4196541044447,-6.62178107544228,121,0,0,0,10.56,4.45,26.08,1.6,14.44,42.16,0,0.03,0.67,0,0,100,0,0,0,0,0,0,0
AKW04450-0025,Starvation Creek,AKMAP,NA,42.7466172118298,34.9316582793141,394.949249268,637.813363754,951.35369873,556.404449463,0.0350919291377,13.5176303617,38.5857429504,27.1316810108366,19.3960783481598,20.7008676528931,13.2534800881431,37.0555630297888,65.0158529735747,89.2400622140794,92.1687048503331,50.2457274482364,33.7024495942252,32.2298260302771,23.5553172656468,503.69560950143,-12.4102180231185,-9.83960927668072,-5.58138825779869,1.77381139958189,10.9812539475305,17.186522722244302,18.1120003518604,14.5136584213802,8.16060589608692,-3.01156219130471,-9.33476008120037,-10.4035485528764,1.6788972027245,-14.9505478200458,-12.587703426679001,-9.01350257510231,-1.7511025958118,7.10401069550287,12.7936677535375,14.0124694336028,11.0034372522717,5.2589918857529,-4.74284371875581,-11.5798925785791,-13.2390028067998,-1.4743348587127,-17.4908776283264,-15.3357976675034,-12.445616744813501,-5.27601656743458,3.22676745766685,8.40081281605221,9.9129384358724,7.49321603491193,2.35737796837375,-6.4741252944583,-13.8250251043411,-16.0744570323399,-4.62756693647021,124,0,0,0,0.01,6.86,27.95,26.35,4.87,32.54,0,0.31,1.1,0,0,100,0,0,0,0,0,0,0
AKW04450-0027,NNT to Jack River,AKMAP,NA,23.0873353745633,22.1340913660507,886.382507324,1354.59739717,1771.9263916,885.543884277,0.188842251897,23.0690931365,44.8224449158,25.801856522919,27.7184600624987,16.4776614301948,38.6280321100707,23.3941279585643,88.7704252017442,125.081297187395,123.56321191275,70.6394869076308,37.9539810098628,29.7533610149096,28.159081305227,635.940979660198,-8.69000854799824,-8.42234440260036,-6.27560275088074,-1.49576895637938,5.54590632838588,10.7172176197011,12.0912877974972,9.88848688269174,4.13506677842909,-3.44254465641514,-7.63823436408915,-8.47636102860974,-0.171908282825062,-11.5712038163216,-11.9615773129207,-10.2296238150648,-4.86122759183248,2.1619246041262,7.13599391650128,8.56233018957159,6.89525202781923,1.32066171712202,-5.71821570652787,-10.5396425390756,-11.7897577593403,-3.38292384916736,-14.4523991307905,-15.5008101924773,-14.1836450433218,-8.22668623667891,-1.22205710202776,3.55477027995612,5.03337258164601,3.90201718448311,-1.49374331798284,-7.99388677843155,-13.441050693553,-15.1031545003255,-6.59393940177015,147,0,0.1,0,34.46,0,1.8,0.03,31,31.97,0.29,0.33,0.03,0,100,0,0,0,0,0,0,0,0
