otu,site_code,collection_date,count
Acentrella,DENA-012,2007-08-26,8
Acentrella,DENA-012,2008-08-29,9
Acentrella,DENA-018,2007-08-28,12
Acentrella,DENA-022,2009-08-23,1
Acentrella,DENA-022,2022-08-20,1
Acentrella,DENA-026,2008-08-26,156
Acentrella,DENA-028,2008-08-27,48
Acentrella,DENA-045,2015-07-02,247
Acentrella,DENA-GRTS-010,2007-08-23,85
Acentrella,DENA-GRTS-010,2008-08-27,12
Acentrella,DENA-GRTS-010,2010-08-24,8
Acentrella,DENA-GRTS-010,2011-08-26,39
Acentrella,DENA-GRTS-010,2012-08-10,79
Acentrella,DENA-GRTS-010,2014-08-24,9
Acentrella,DENA-GRTS-010,2018-08-17,32
Acentrella,DENA-GRTS-010,2021-08-12,25
Acentrella,DENA-GRTS-014,2010-08-23,4
Acentrella,DENA-GRTS-039,2008-08-25,25
Acentrella,DENA-GRTS-039,2010-08-25,3
Acentrella,DENA-GRTS-051,2012-08-07,71
Acentrella,DENA-GRTS-060,2014-08-25,2
Acentrella,DENA-GRTS-060,2015-08-12,14
Acentrella,DENA-GRTS-084,2007-08-29,1
Acentrella,DENA-GRTS-084,2014-08-23,10
Acentrella,DENA-GRTS-084,2021-08-11,3
Acentrella,DENA-GRTS-104,2008-08-20,5
Acentrella,DENA-GRTS-104,2012-08-11,1
Acentrella,DENA-GRTS-104,2015-08-12,1
Acentrella,DENA-GRTS-104,2018-08-16,1
Acentrella,DENA-GRTS-104,2022-08-19,1
Acentrella,DENA-GRTS-137,2012-08-07,71
Acentrella,DENA-GRTS-183,2010-08-01,2
Acentrella,DENA-GRTS-196,2015-07-02,1
Acentrella,DENA-MINE-002A,2008-08-23,1
Acentrella,DENA-MINE-002A,2009-08-12,9
Acentrella,DENA-MINE-003,2008-08-23,30
Acentrella,DENA-MINE-003,2009-08-11,48
Acentrella,DENA-MINE-003,2012-08-23,14
Acentrella,DENA-MINE-003,2021-08-13,12
Acentrella,DKH-LS-1000,2021-08-17,32
Acentrella,USGS-005,2009-08-11,3
Acentrella,WRST-009,2006-08-03,50
Acentrella,WRST-013,2009-07-16,2
Acentrella,WRST-039,2008-08-07,1
Acentrella,WRST-060,2011-08-06,4
Acentrella,WRST-060,2012-07-26,7
Acentrella,WRST-061,2011-08-20,5
Acentrella,WRST-GRTS-130,2011-08-19,17
Acentrella,WRST-GRTS-130,2012-07-26,6
Acentrella,WRST-GRTS-130,2014-08-04,5
Acentrella,WRST-GRTS-130,2021-07-29,4
Acentrella,WRST-GRTS-241,2010-07-24,47
Acentrella,WRST-GRTS-251,2011-06-27,567
Acentrella,WRST-GRTS-302,2008-07-17,23
Acentrella,YUCH-003,2015-08-07,19
Acentrella,YUCH-004,2015-08-07,13
Acentrella,YUCH-010,2016-07-06,107
Acentrella,YUCH-012,2020-07-31,2
Acentrella,YUCH-GRTS-001,2011-09-08,53
Acentrella,YUCH-GRTS-003,2011-09-10,1
Acentrella,YUCH-GRTS-017,2016-07-06,115
Acentrella,YUCH-GRTS-115,2015-08-06,50
Ameletus,AKW04450-0006,2004-07-30,58
Ameletus,AKW04450-0007,2004-07-14,1
Ameletus,AKW04450-0016,2004-07-29,8
Ameletus,AKW04450-0023,2005-07-11,45
Ameletus,AKW04450-0027,2004-07-14,38
Ameletus,AKW04450-0030,2004-08-15,62
Ameletus,AKW04450-0032,2004-07-30,4
Ameletus,AKW04450-0039,2004-07-13,43
Ameletus,AKW04450-0075,2004-07-20,1
Ameletus,AKW04450-0085,2004-08-08,400
Ameletus,AKW04450-0091,2004-08-14,30
Ameletus,AKW04450-0094,2005-07-14,1
Ameletus,AKW04450-0098,2005-07-27,10
Ameletus,AKW04450-0119,2005-07-09,8
Ameletus,AKW04450-0147,2005-08-02,3
Ameletus,AKW04450-0163,2005-07-08,4
Ameletus,AKW04450-0193,2005-07-21,4
Ameletus,AKW04450-0195,2005-07-18,4
Ameletus,DENA-001,2010-08-26,5
Ameletus,DENA-001,2011-08-27,5
Ameletus,DENA-001,2012-08-08,3
Ameletus,DENA-001,2018-08-16,17
Ameletus,DENA-002,2007-08-20,21
Ameletus,DENA-008,2009-08-25,7
Ameletus,DENA-008,2009-09-24,4
Ameletus,DENA-008,2012-08-09,8
Ameletus,DENA-009,2015-08-13,11
Ameletus,DENA-011,2008-08-22,6
Ameletus,DENA-012,2008-08-29,3
Ameletus,DENA-015,2008-08-29,9
Ameletus,DENA-015,2010-08-26,10
Ameletus,DENA-017,2007-08-28,1
Ameletus,DENA-017,2008-08-21,30
Ameletus,DENA-017,2011-08-25,326
Ameletus,DENA-017,2015-08-13,33
Ameletus,DENA-017,2016-08-14,63
Ameletus,DENA-017,2018-08-16,30
Ameletus,DENA-017,2019-09-01,31
Ameletus,DENA-017,2021-08-11,81
Ameletus,DENA-017,2022-08-19,106
Ameletus,DENA-018,2007-08-28,162
Ameletus,DENA-021,2015-08-12,75
Ameletus,DENA-021,2018-08-18,230
Ameletus,DENA-021,2019-09-03,116
Ameletus,DENA-021,2021-08-11,40
Ameletus,DENA-021,2022-08-19,23
